Data do Lead,ID_Lead,Qual a sua área de atuação?,Qual o seu cargo atual?,Quais seus objetivos com o curso?,Como você conheceu a escola?,Conversão
9/1/22,1511,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/3/22,1504,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/4/22,1659,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/7/22,1592,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,1
9/8/22,2124,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,2340,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,1728,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/8/22,2239,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/8/22,1890,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/10/22,1657,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/10/22,3007,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/12/22,1888,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/12/22,3022,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/13/22,1619,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/14/22,1760,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/15/22,2153,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/15/22,1590,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/18/22,1658,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
9/20/22,1586,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/20/22,1604,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/21/22,1545,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1534,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1671,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/22/22,1541,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Indicação,1
9/23/22,1656,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
9/23/22,1597,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
9/27/22,1576,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/1/22,1706,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/1/22,1632,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/2/22,1733,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/2/22,1631,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/3/22,1734,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/5/22,1630,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/5/22,1651,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
10/6/22,1795,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/7/22,1638,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/8/22,1639,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/8/22,1593,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/9/22,2056,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/9/22,1666,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/9/22,1796,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/10/22,1797,Logística,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/10/22,1676,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/11/22,1669,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,1
10/11/22,2263,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1798,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1799,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1521,Mercado Financeiro,Analista,Melhorar minha carreira e ganhar mais,Indicação,0
10/12/22,1599,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
10/13/22,1843,Mercado Financeiro,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,1
